,titol,descripcio,origen
0,Mapa dels barris (fins al 2021),Mapa amb les delimitacions dels barris de L'Hospitalet,hospitalet
1,Ofertes de treball,Tota la informació sobre les ofertes de treball vigents.,hospitalet
2,Agenda de la ciutat,Informació sobre els actes i activitats que tenen lloc a L'Hospitalet,hospitalet
3,Població per nacionalitat i lloc de naixement,Població a 31 de desembre per nacionalitat i lloc de naixement.,hospitalet
4,Característiques dels actes de l'agenda de la ciutat,"Es mostren algunes característiques dels actes i dels esdeveniments de l'agenda de la ciutat, com ara el tema, el tipus de públic, el tipus d'entrada, la durada, el preu, el nom de l'equipament on es desenvolupa l'acte i el barri on es realitza l'esdeveniment.",hospitalet
5,Cursos de formació,Guia de cursos del Servei d'Informació i Orientació Laboral,hospitalet
6,Població per edat i sexe,"Evolució de la població per districtes, barris, edat i sexe segons el padró municipal amb dades a 31 de desembre.",hospitalet
7,Nombre d'habitants i habitatges per Àrees bàsiques de Salut,Recompte d'habitatges i habitants de cada ABS des de juny de 2018. Dades mensuals,hospitalet
8,Característiques de les ofertes de treball,"Característiques de les ofertes de treball publicades pel Servei d'Intermediació i Inserció de l'Ajuntament de L'Hospitalet, com ara la data d'alta, la població, el tipus d'ocupació, el tipus de contracte, la jornada, els mesos d'experiència, la formació reglada, els idiomes i els permisos necessaris per ser candidat
 
oficial",hospitalet
9,"Població per territori, sexe i grup d'edat","Evolució del nombre de persones empadronades a la ciutat per districte, barri, secció, grup d'edat i sexe segons el padró municipal provisional a 31 de desembre.",hospitalet
10,Directori de les dependències municipals,Directori de les dependències municipals,hospitalet
11,"Mapa de les divisions territorials (districtes, barris i seccions censals) fins al 2021","Mapa de les divisions territorials per districtes, barris i seccions censals de L'Hospitalet",hospitalet
12,Execució del pressupost de despeses,"Execució del pressupost de despeses (dades mensuals).
Les dades d'execució fan referència a l'últim dia del mes.",hospitalet
13,Guia oficial de noms de carrers,"Guia oficial de nom dels carrers, carreteres i camins de la ciutat (Nomenclàtor).",hospitalet
14,Agenda del dia de l'alcaldessa,Agenda diària de l'alcaldessa,hospitalet
15,Agenda d'actes de Regidores i Regidors,Agenda institucional d'actes dels Regidors i Regidores,hospitalet
16,Indicadors de gestió de la ciutat de L'Hospitalet als Cercles de comparació intermunicipals de la Diputació de Barcelona (2014-2020),"Valors corresponents als indicadors de l'Ajuntament de L'Hospitalet en el projecte dels Cercles de comparació intermunicipals de la Diputació de Barcelona comparats amb la mitjana dels municipis de més de 75.000 habitants que participen en cada cercle.
Les dades relatives als anys 2014-2019 d'aquest fitxer invaliden les versions anteriors d'aquest conjunt de dades. La Diputació de Barcelona realitza una tasca de revisió permanent de les dades i és possible que algun valor del període 2014-2019 s'hagi modificat com a conseqüència del procés de depuració.",hospitalet
17,BiciBox,Relació de les ubicacions i ocupacions de BiciBox.,hospitalet
18,Calendari laboral de L'Hospitalet,Calendari de dies festius,hospitalet
19,"Població per territori, sexe i grup d'edat (dades mensuals)","Evolució del nombre de persones empadronades a la ciutat per districte, barri, secció, grup d'edat i sexe segons el padró municipal provisional a final de cada mes.",hospitalet
20,Mapa  dels districtes (fins al 2021),Mapa amb les delimitacions dels districtes de L'Hospitalet,hospitalet
21,Adreces postals,Relació de les adreces postals vàlides de la ciutat.,hospitalet
22,Població per nacionalitat i lloc de naixement (dades mensuals),Població a final de cada mes per nacionalitat i lloc de naixement.,hospitalet
23,Mapa amb la localització de les escoles bressol i llar d'infants,Mapa amb la localització de les escoles bressol i llars d'infants i la delimitació dels barris,hospitalet
24,Incidències de neteja finalitzades (2016-2021),Incidències de neteja finalitzades entre els anys 2016 i 2021.,hospitalet
25,Execució del pressupost d'ingressos,"Execució del pressupost d'ingressos (dades mensuals)
Les dades d'execució fan referència a l'últim dia del mes.",hospitalet
26,Qualitat de l'aire,Paràmetres mesurats de qualitat de l'aire.,hospitalet
27,Agenda institucional,Agenda d'actes dels Regidors.,hospitalet
28,Mapa de les seccions censals (fins al 2021),Mapa amb les delimitacions de les seccions censals de L'Hospitalet,hospitalet
29,Gràfic dels resultats a les eleccions municipals de 2015,Evolució dels resultats a les eleccions municipals amb la distribució del nombre de regidors,hospitalet
30,Divisió territorial,"Divisió territorial de la ciutat (districtes, barris, zones educatives, codis postals, ...).",hospitalet
31,Població per edat i sexe (dades mensuals),"Evolució de la població per districtes, barris, edat i sexe segons el padró municipal amb dades a final de cada mes.",hospitalet
32,Mapa de localització de les parades de taxi,Localització de les parades de taxi de la ciutat amb indicació de la seva capacitat.,hospitalet
33,Entitats registrades al Registre Municipal d'Entitats,Relació d'entitats registrades al Registre Municipal d'Entitats,hospitalet
34,Mapa amb la localització de les farmàcies,Mapa amb la localització de les farmàcies de L'Hospitalet,hospitalet
35,Evolució dels resultats a les eleccions municipals,Evolució dels resultats a les eleccions municipals amb la distribució del nombre de regidors,hospitalet
36,Escoles bressol,Escoles bressol del municipi,hospitalet
37,Execució del pressupost de despeses (exercicis anteriors),Execució del pressupost de despeses d'exercicis tancats.,hospitalet
38,Gràfic del pressupost inicial de l'any 2017. Qui fa la despesa ?,Pressupost inicial de l'any 2017 segons classificació orgànica,hospitalet
39,Farmàcies,Farmàcies existents a la ciutat,hospitalet
40,Calendari del contribuent,Calendari del contribuent. Període voluntari i dia de càrrec de rebuts domiciliats.,hospitalet
41,Gràfic del pressupost inicial de l'any 2017 per política de despesa,Pressupost inicial de l'any 2017 per política de despesa,hospitalet
42,Gràfic del pressupost inicial de l'any 2017. D'on venen els diners ?,Pressupost inicial de l'any 2017. D'on venen els diners ?,hospitalet
43,Parades de taxi,Localització de les parades de taxi de la ciutat amb indicació de la seva capacitat.,hospitalet
44,Incidències de neteja finalitzades de l'any actual,Incidències de neteja finalitzades de l'any en curs,hospitalet
45,Modificacions de crèdit de l'exercici 2017,Modificacions de crèdit realitzades sobre les partides comptables de l'exercici 2017.,hospitalet
46,Contenidors per a la recollida selectiva de residus,Ubicació dels contenidors per a la recollida selectiva de residus.,hospitalet
47,Eleccions al Parlament de Catalunya desembre 2017 (resultats),Resultats definitius de les candidatures a les eleccions al Parlament de Catalunya del 21 de desembre del 2017.,hospitalet
48,Execució del pressupost d'ingressos (exercicis anteriors),Execució del pressupost d'ingressos d'exercicis tancats.,hospitalet
49,Dades obertes en temps real,Ítems de dades obertes que s'actualitzen amb alta periodicitat.,hospitalet
50,Eleccions Generals juny 2016 (Resultats),Resultats definitius de les Eleccions Generals de juny del 2016.,hospitalet
51,Enquesta sobre els barris de L'Hospitalet 2017,Totes les entrevistes amb les respostes de l'enquesta,hospitalet
52,Calendari del contribuent de l'any 2018,Calendari del contribuent. Període voluntari i dia de càrrec de rebuts domiciliats.,hospitalet
53,Indicadors estadístics de nivell i distribució de renda,"Indicadors estadístics de nivell i distribució de renda de les llars a nivell municipal, districte i secció cendal a partir de l'enllaç d'informació de l'INE amb dades tributàries de l'AEAT amb població del padró d'habitants a 31 de desembre i dades de territori.
Descripció del projecte: https://www.ine.es/experimental/atlas/exp_atlas_proyecto.pdf",hospitalet
54,"Parades de metro, ferrocarril i TRAM","Relació de parades de metro, FFCC, Renfe i TRAM de la ciutat",hospitalet
55,Eleccions municipals maig 2015 (resultats),Resultats definitius de les candidatures a les eleccions municipals de maig del 2015.,hospitalet
56,Patrimoni cultural,Patrimoni cultural de L'Hospitalet de Llobregat,hospitalet
57,Baròmetre municipal de l'any 2016,Baròmetre municipal de l'any 2016,hospitalet
58,Modificacions de crèdit de l'exercici 2018,Modificacions de crèdit realitzades sobre les partides comptables de l'exercici 2018.,hospitalet
59,Covid Infogram 1 Total,-,hospitalet
60,Pressupost inicial d'ingressos,Pressupost inicial d'ingressos (dades per exercicis anuals).,hospitalet
61,Pressupost inicial de despeses,Pressupost inicial de despeses (dades per exercicis anuals).,hospitalet
62,Baròmetre municipal de l'any 2019,Baròmetre municipal de l'any 2019,hospitalet
63,Baròmetre municipal de l'any 2018,Baròmetre municipal de l'any 2018,hospitalet
64,Eleccions municipals maig 2011 (resultats),Resultats de les eleccions municipals de maig del 2011.,hospitalet
65,Eleccions al Parlament de Catalunya desembre 2017 (participació),Dades de participació de les eleccions al Parlament de Catalunya del 21 de desembre del 2017.,hospitalet
66,Eleccions municipals maig 2019 (resultats),Resultats de les eleccions municipals del 26 de maig del 2019.,hospitalet
67,Eleccions municipals maig 2015 (participació),Dades de participació de les eleccions municipals de maig del 2015.,hospitalet
68,Eleccions Generals juny 2016 (participació),Dades sobre participació a les eleccions generals de juny de 2016.,hospitalet
69,Eleccions municipals maig 2011 (participació),Dades de participació a les eleccions municipals de maig del 2011,hospitalet
70,Modificacions de crèdit de l'exercici 2019,Modificacions de crèdit realitzades sobre les partides comptables de l'exercici 2019.,hospitalet
71,Guals,Guals actius de L'Hospitalet de Llobregat,hospitalet
72,Baròmetre municipal de l'any 2020,Dades del baròmetre municipal de l'any 2020. És un fitxer amb camps separats amb tabuladors. No es poden carregar les dades directament a Socrata ja que es supera el límit de 500 columnes.,hospitalet
73,Baròmetre municipal de l'any 2017,Matriu de dades del baròmetre de l'any 2017,hospitalet
