title,web_url,description,category
Mapa dels barris (fins al 2021),https://opendata.l-h.cat/Urbanisme-i-infraestructures/Mapa-dels-barris-fins-al-2021-/wec8-akcf,Mapa amb les delimitacions dels barris de L'Hospitalet,Urbanisme i infraestructures
Ofertes de treball,https://opendata.l-h.cat/Treball/Ofertes-de-treball/vmsz-aben,Tota la informació sobre les ofertes de treball vigents.,Treball
Agenda de la ciutat,https://opendata.l-h.cat/Cultura-i-oci/Agenda-de-la-ciutat/qtv3-9x52,Informació sobre els actes i activitats que tenen lloc a L'Hospitalet,Cultura i oci
Població per nacionalitat i lloc de naixement,https://opendata.l-h.cat/Demografia/Població-per-nacionalitat-i-lloc-de-naixement/sjkp-jybz,Població a 31 de desembre per nacionalitat i lloc de naixement.,Demografia
Característiques dels actes de l'agenda de la ciutat,https://opendata.l-h.cat/Cultura-i-oci/Característiques-dels-actes-de-l-agenda-de-la-ciut/uawr-y6rm,"Es mostren algunes característiques dels actes i dels esdeveniments de l'agenda de la ciutat, com ara el tema, el tipus de públic, el tipus d'entrada, la durada, el preu, el nom de l'equipament on es desenvolupa l'acte i el barri on es realitza l'esdeveniment.",Cultura i oci
Cursos de formació,https://opendata.l-h.cat/Treball/Cursos-de-formació/gvm3-jix8,Guia de cursos del Servei d'Informació i Orientació Laboral,Treball
Població per edat i sexe,https://opendata.l-h.cat/Demografia/Població-per-edat-i-sexe/3jzy-kjbt,"Evolució de la població per districtes, barris, edat i sexe segons el padró municipal amb dades a 31 de desembre.",Demografia
Nombre d'habitants i habitatges per Àrees bàsiques de Salut,https://opendata.l-h.cat/Salut/Nombre-d-habitants-i-habitatges-per-Àrees-bàsiques/hj2f-96x6,Recompte d'habitatges i habitants de cada ABS des de juny de 2018. Dades mensuals,Salut
Característiques de les ofertes de treball,https://opendata.l-h.cat/Treball/Característiques-de-les-ofertes-de-treball/6bxc-dhew,"Característiques de les ofertes de treball publicades pel Servei d'Intermediació i Inserció de l'Ajuntament de L'Hospitalet, com ara la data d'alta, la població, el tipus d'ocupació, el tipus de contracte, la jornada, els mesos d'experiència, la formació reglada, els idiomes i els permisos necessaris per ser candidat
 
oficial",Treball
"Població per territori, sexe i grup d'edat",https://opendata.l-h.cat/Demografia/Població-per-territori-sexe-i-grup-d-edat/kqbc-er7m,"Evolució del nombre de persones empadronades a la ciutat per districte, barri, secció, grup d'edat i sexe segons el padró municipal provisional a 31 de desembre.",Demografia
Directori de les dependències municipals,https://opendata.l-h.cat/Sector-públic/Directori-de-les-dependències-municipals/tst6-ia4k,Directori de les dependències municipals,Sector públic
