,title,description,web_url,category,origen,notes_ca,url_busqueda_ca,organization_parent_name_ca
0,Mapa dels barris (fins al 2021),Mapa amb les delimitacions dels barris de L'Hospitalet,https://opendata.l-h.cat/Urbanisme-i-infraestructures/Mapa-dels-barris-fins-al-2021-/wec8-akcf,Urbanisme i infraestructures,hospitalet,,,
1,Ofertes de treball,Tota la informació sobre les ofertes de treball vigents.,https://opendata.l-h.cat/Treball/Ofertes-de-treball/vmsz-aben,Treball,hospitalet,,,
2,Agenda de la ciutat,Informació sobre els actes i activitats que tenen lloc a L'Hospitalet,https://opendata.l-h.cat/Cultura-i-oci/Agenda-de-la-ciutat/qtv3-9x52,Cultura i oci,hospitalet,,,
3,Població per nacionalitat i lloc de naixement,Població a 31 de desembre per nacionalitat i lloc de naixement.,https://opendata.l-h.cat/Demografia/Població-per-nacionalitat-i-lloc-de-naixement/sjkp-jybz,Demografia,hospitalet,,,
4,Característiques dels actes de l'agenda de la ciutat,"Es mostren algunes característiques dels actes i dels esdeveniments de l'agenda de la ciutat, com ara el tema, el tipus de públic, el tipus d'entrada, la durada, el preu, el nom de l'equipament on es desenvolupa l'acte i el barri on es realitza l'esdeveniment.",https://opendata.l-h.cat/Cultura-i-oci/Característiques-dels-actes-de-l-agenda-de-la-ciut/uawr-y6rm,Cultura i oci,hospitalet,,,
5,Cursos de formació,Guia de cursos del Servei d'Informació i Orientació Laboral,https://opendata.l-h.cat/Treball/Cursos-de-formació/gvm3-jix8,Treball,hospitalet,,,
6,Població per edat i sexe,"Evolució de la població per districtes, barris, edat i sexe segons el padró municipal amb dades a 31 de desembre.",https://opendata.l-h.cat/Demografia/Població-per-edat-i-sexe/3jzy-kjbt,Demografia,hospitalet,,,
7,Nombre d'habitants i habitatges per Àrees bàsiques de Salut,Recompte d'habitatges i habitants de cada ABS des de juny de 2018. Dades mensuals,https://opendata.l-h.cat/Salut/Nombre-d-habitants-i-habitatges-per-Àrees-bàsiques/hj2f-96x6,Salut,hospitalet,,,
8,Característiques de les ofertes de treball,"Característiques de les ofertes de treball publicades pel Servei d'Intermediació i Inserció de l'Ajuntament de L'Hospitalet, com ara la data d'alta, la població, el tipus d'ocupació, el tipus de contracte, la jornada, els mesos d'experiència, la formació reglada, els idiomes i els permisos necessaris per ser candidat
 
oficial",https://opendata.l-h.cat/Treball/Característiques-de-les-ofertes-de-treball/6bxc-dhew,Treball,hospitalet,,,
9,"Població per territori, sexe i grup d'edat","Evolució del nombre de persones empadronades a la ciutat per districte, barri, secció, grup d'edat i sexe segons el padró municipal provisional a 31 de desembre.",https://opendata.l-h.cat/Demografia/Població-per-territori-sexe-i-grup-d-edat/kqbc-er7m,Demografia,hospitalet,,,
10,Directori de les dependències municipals,Directori de les dependències municipals,https://opendata.l-h.cat/Sector-públic/Directori-de-les-dependències-municipals/tst6-ia4k,Sector públic,hospitalet,,,
11,"Mapa de les divisions territorials (districtes, barris i seccions censals) fins al 2021","Mapa de les divisions territorials per districtes, barris i seccions censals de L'Hospitalet",https://opendata.l-h.cat/Urbanisme-i-infraestructures/Mapa-de-les-divisions-territorials-districtes-barr/ue62-rgvq,Urbanisme i infraestructures,hospitalet,,,
12,Execució del pressupost de despeses,"Execució del pressupost de despeses (dades mensuals).
Les dades d'execució fan referència a l'últim dia del mes.",https://opendata.l-h.cat/Sector-públic/Execució-del-pressupost-de-despeses/p3pi-beag,Sector públic,hospitalet,,,
13,Guia oficial de noms de carrers,"Guia oficial de nom dels carrers, carreteres i camins de la ciutat (Nomenclàtor).",https://opendata.l-h.cat/Urbanisme-i-infraestructures/Guia-oficial-de-noms-de-carrers/mxs6-mjeq,Urbanisme i infraestructures,hospitalet,,,
14,Agenda del dia de l'alcaldessa,Agenda diària de l'alcaldessa,https://opendata.l-h.cat/Sector-públic/Agenda-del-dia-de-l-alcaldessa/ptx9-uf77,Sector públic,hospitalet,,,
15,Agenda d'actes de Regidores i Regidors,Agenda institucional d'actes dels Regidors i Regidores,https://opendata.l-h.cat/Sector-públic/Agenda-d-actes-de-Regidores-i-Regidors/gwwe-thg9,Sector públic,hospitalet,,,
